Epoch: 195, Train Loss: 0.0319, Test MAE: 0.0367, Best MAE: 0.0296
Epoch: 196, Train Loss: 0.0297, Test MAE: 0.0316, Best MAE: 0.0296
Epoch: 197, Train Loss: 0.0307, Test MAE: 0.0305, Best MAE: 0.0296
Epoch: 198, Train Loss: 0.0306, Test MAE: 0.0286, Best MAE: 0.0286
Epoch: 199, Train Loss: 0.0307, Test MAE: 0.0334, Best MAE: 0.0286
Epoch: 200, Train Loss: 0.0298, Test MAE: 0.0305, Best MAE: 0.0286
Epoch: 201, Train Loss: 0.0310, Test MAE: 0.0281, Best MAE: 0.0281
Epoch: 202, Train Loss: 0.0296, Test MAE: 0.0288, Best MAE: 0.0281
Epoch: 203, Train Loss: 0.0299, Test MAE: 0.0330, Best MAE: 0.0281
Epoch: 204, Train Loss: 0.0297, Test MAE: 0.0324, Best MAE: 0.0281
Epoch: 205, Train Loss: 0.0301, Test MAE: 0.0322, Best MAE: 0.0281
Epoch: 206, Train Loss: 0.0292, Test MAE: 0.0296, Best MAE: 0.0281
Epoch: 207, Train Loss: 0.0304, Test MAE: 0.0348, Best MAE: 0.0281
Epoch: 208, Train Loss: 0.0294, Test MAE: 0.0296, Best MAE: 0.0281
Epoch: 209, Train Loss: 0.0301, Test MAE: 0.0325, Best MAE: 0.0281
Epoch: 210, Train Loss: 0.0287, Test MAE: 0.0314, Best MAE: 0.0281
Epoch: 211, Train Loss: 0.0291, Test MAE: 0.0319, Best MAE: 0.0281
Epoch: 212, Train Loss: 0.0289, Test MAE: 0.0325, Best MAE: 0.0281
Epoch: 213, Train Loss: 0.0293, Test MAE: 0.0362, Best MAE: 0.0281
Epoch: 214, Train Loss: 0.0297, Test MAE: 0.0292, Best MAE: 0.0281
Epoch: 215, Train Loss: 0.0288, Test MAE: 0.0321, Best MAE: 0.0281
Epoch: 216, Train Loss: 0.0286, Test MAE: 0.0334, Best MAE: 0.0281
Epoch: 217, Train Loss: 0.0295, Test MAE: 0.0315, Best MAE: 0.0281
Epoch: 218, Train Loss: 0.0286, Test MAE: 0.0308, Best MAE: 0.0281
Epoch: 219, Train Loss: 0.0284, Test MAE: 0.0306, Best MAE: 0.0281
Epoch: 220, Train Loss: 0.0287, Test MAE: 0.0305, Best MAE: 0.0281
Epoch: 221, Train Loss: 0.0292, Test MAE: 0.0287, Best MAE: 0.0281
Epoch: 222, Train Loss: 0.0284, Test MAE: 0.0283, Best MAE: 0.0281
Epoch: 223, Train Loss: 0.0290, Test MAE: 0.0300, Best MAE: 0.0281
Epoch: 224, Train Loss: 0.0282, Test MAE: 0.0291, Best MAE: 0.0281
Epoch: 225, Train Loss: 0.0284, Test MAE: 0.0344, Best MAE: 0.0281
Epoch: 226, Train Loss: 0.0296, Test MAE: 0.0298, Best MAE: 0.0281
Epoch: 227, Train Loss: 0.0302, Test MAE: 0.0286, Best MAE: 0.0281
Epoch: 228, Train Loss: 0.0296, Test MAE: 0.0282, Best MAE: 0.0281
Epoch: 229, Train Loss: 0.0287, Test MAE: 0.0337, Best MAE: 0.0281
Epoch: 230, Train Loss: 0.0282, Test MAE: 0.0295, Best MAE: 0.0281
Epoch: 231, Train Loss: 0.0280, Test MAE: 0.0299, Best MAE: 0.0281
Epoch: 232, Train Loss: 0.0286, Test MAE: 0.0303, Best MAE: 0.0281
Epoch: 233, Train Loss: 0.0277, Test MAE: 0.0319, Best MAE: 0.0281
Epoch: 234, Train Loss: 0.0280, Test MAE: 0.0298, Best MAE: 0.0281
Epoch: 235, Train Loss: 0.0298, Test MAE: 0.0332, Best MAE: 0.0281
Epoch: 236, Train Loss: 0.0303, Test MAE: 0.0284, Best MAE: 0.0281
Epoch: 237, Train Loss: 0.0279, Test MAE: 0.0401, Best MAE: 0.0281
Epoch: 238, Train Loss: 0.0281, Test MAE: 0.0275, Best MAE: 0.0275
Epoch: 239, Train Loss: 0.0280, Test MAE: 0.0283, Best MAE: 0.0275
Epoch: 240, Train Loss: 0.0278, Test MAE: 0.0305, Best MAE: 0.0275
Epoch: 241, Train Loss: 0.0277, Test MAE: 0.0361, Best MAE: 0.0275
Epoch: 242, Train Loss: 0.0280, Test MAE: 0.0338, Best MAE: 0.0275
Epoch: 243, Train Loss: 0.0297, Test MAE: 0.0272, Best MAE: 0.0272
Epoch: 244, Train Loss: 0.0276, Test MAE: 0.0288, Best MAE: 0.0272
Epoch: 245, Train Loss: 0.0271, Test MAE: 0.0302, Best MAE: 0.0272
